label_type	pref_label	label
cell	gm18502 cell	gm18502 cell
cell	gm18504	gm18504
cell	gm18504 cell	gm18504
cell	gm18504 cell	gm18504 cell
cell	gm18505	gm18505
cell	gm18507	gm18507
cell	gm18508	gm18508
cell	gm18508 cell	gm18508
cell	gm18508 cell	gm18508 cell
cell	gm18510	gm18510
cell	gm18510 cell	gm18510
cell	gm18510 cell	gm18510 cell
cell	gm18511	gm18511
cell	gm18511 cell	gm18511
cell	gm18511 cell	gm18511 cell
cell	gm18516	gm18516
cell	gm18516 cell	gm18516
cell	gm18516 cell	gm18516 cell
cell	gm18517	gm18517
cell	gm18517 cell	gm18517
cell	gm18517 cell	gm18517 cell
cell	gm18519	gm18519
cell	gm18519 cell	gm18519
cell	gm18519 cell	gm18519 cell
cell	gm18520	gm18520
cell	gm18520 cell	gm18520
cell	gm18520 cell	gm18520 cell
cell	gm18522	gm18522
cell	gm18522 cell	gm18522
cell	gm18522 cell	gm18522 cell
cell	gm18526	gm18526
cell	gm18852	gm18852
cell	gm18852 cell	gm18852
cell	gm18852 cell	gm18852 cell
cell	gm18853	gm18853
cell	gm18853 cell	gm18853
cell	gm18853 cell	gm18853 cell
cell	gm18855	gm18855
cell	gm18855 cell	gm18855
cell	gm18855 cell	gm18855 cell
cell	gm18856	gm18856
cell	gm18856 cell	gm18856
cell	gm18856 cell	gm18856 cell
cell	gm18858	gm18858
cell	gm18858 cell	gm18858
cell	gm18858 cell	gm18858 cell
cell	gm18859	gm18859
cell	gm18859 cell	gm18859
cell	gm18859 cell	gm18859 cell
cell	gm18861	gm18861
cell	gm18861 cell	gm18861
cell	gm18861 cell	gm18861 cell
cell	gm18862	gm18862
cell	gm18862 cell	gm18862
cell	gm18862 cell	gm18862 cell
cell	gm18870	gm18870
cell	gm18870 cell	gm18870
cell	gm18870 cell	gm18870 cell
cell	gm18907	gm18907
cell	gm18907 cell	gm18907
cell	gm18907 cell	gm18907 cell
cell	gm18909	gm18909
cell	gm18909 cell	gm18909
cell	gm18909 cell	gm18909 cell
cell	gm18912	gm18912
cell	gm18912 cell	gm18912
cell	gm18912 cell	gm18912 cell
cell	gm18913	gm18913
cell	gm18913 cell	gm18913
cell	gm18913 cell	gm18913 cell
cell	gm18916	gm18916
cell	gm18916 cell	gm18916
cell	gm18916 cell	gm18916 cell
cell	gm18951	gm18951
cell	gm19092	gm19092
cell	gm19092 cell	gm19092
cell	gm19092 cell	gm19092 cell
cell	gm19093	gm19093
cell	gm19093 cell	gm19093
cell	gm19093 cell	gm19093 cell
cell	gm19098	gm19098
cell	gm19098 cell	gm19098
cell	gm19098 cell	gm19098 cell
cell	gm19099	gm19099
cell	gm19101	gm19101
cell	gm19101 cell	gm19101
cell	gm19101 cell	gm19101 cell
cell	gm19114	gm19114
cell	gm19114 cell	gm19114
cell	gm19114 cell	gm19114 cell
cell	gm19116	gm19116
cell	gm19116 cell	gm19116
cell	gm19116 cell	gm19116 cell
cell	gm19119	gm19119
cell	gm19119 cell	gm19119
cell	gm19119 cell	gm19119 cell
cell	gm19127	gm19127
cell	gm19127 cell	gm19127
cell	gm19127 cell	gm19127 cell
cell	gm19130	gm19130
cell	gm19130 cell	gm19130
cell	gm19130 cell	gm19130 cell
cell	gm19131	gm19131
cell	gm19131 cell	gm19131
cell	gm19131 cell	gm19131 cell
cell	gm19137	gm19137
cell	gm19137 cell	gm19137
cell	gm19137 cell	gm19137 cell
cell	gm19138	gm19138
cell	gm19138 cell	gm19138
cell	gm19138 cell	gm19138 cell
cell	gm19140	gm19140
cell	gm19140 cell	gm19140
cell	gm19140 cell	gm19140 cell
cell	gm19141	gm19141
cell	gm19141 cell	gm19141
cell	gm19141 cell	gm19141 cell
cell	gm19143	gm19143
cell	gm19143 cell	gm19143
cell	gm19143 cell	gm19143 cell
cell	gm19144	gm19144
cell	gm19144 cell	gm19144
cell	gm19144 cell	gm19144 cell
cell	gm19147	gm19147
cell	gm19147 cell	gm19147
cell	gm19147 cell	gm19147 cell
cell	gm19152	gm19152
cell	gm19152 cell	gm19152
cell	gm19152 cell	gm19152 cell
cell	gm19153	gm19153
cell	gm19153 cell	gm19153
cell	gm19153 cell	gm19153 cell
cell	gm19159	gm19159
cell	gm19159 cell	gm19159
cell	gm19159 cell	gm19159 cell
cell	gm19160	gm19160
cell	gm19160 cell	gm19160
cell	gm19160 cell	gm19160 cell
cell	gm19171	gm19171
cell	gm19171 cell	gm19171
cell	gm19171 cell	gm19171 cell
cell	gm19190	gm19190
cell	gm19190 cell	gm19190
cell	gm19190 cell	gm19190 cell
cell	gm19193	gm19193
cell	gm19200	gm19200
cell	gm19200 cell	gm19200
cell	gm19200 cell	gm19200 cell
cell	gm19201	gm19201
cell	gm19201 cell	gm19201
cell	gm19201 cell	gm19201 cell
cell	gm19203	gm19203
cell	gm19203 cell	gm19203
cell	gm19203 cell	gm19203 cell
cell	gm19204	gm19204
cell	gm19204 cell	gm19204
cell	gm19204 cell	gm19204 cell
cell	gm19206	gm19206
cell	gm19206 cell	gm19206
cell	gm19206 cell	gm19206 cell
cell	gm19207	gm19207
cell	gm19207 cell	gm19207
cell	gm19207 cell	gm19207 cell
cell	gm19209	gm19209
cell	gm19209 cell	gm19209
cell	gm19209 cell	gm19209 cell
cell	gm19210	gm19210
cell	gm19210 cell	gm19210
cell	gm19210 cell	gm19210 cell
cell	gm19222	gm19222
cell	gm19222 cell	gm19222
cell	gm19222 cell	gm19222 cell
cell	gm19223	gm19223
cell	gm19223 cell	gm19223
cell	gm19223 cell	gm19223 cell
cell	gm19225	gm19225
cell	gm19225 cell	gm19225
cell	gm19225 cell	gm19225 cell
cell	gm19238	gm19238
cell	gm19239	gm19239
cell	gm19240	gm19240
cell	gm19257	gm19257
cell	gm19257 cell	gm19257
cell	gm19257 cell	gm19257 cell
cell	gm20000	gm20000
cell	gm2255	gm2255
cell	gm23248	gm23248
cell	gm23248	gm23248 cell
cell	gm23338	gm23338
cell	gm2555	gm2555
cell	gm2588	gm2588
cell	gm2610	gm2610
cell	gm2630	gm2630
cell	gp5d	gp5d
cell	granta-519	granta-519
cell	gtl-16	glc-16
cell	gtl-16	gtl-16
cell	h1	h1
cell	h128	h128
cell	h1 bmp4 derived mesendoderm cultured cells	h1 bmp4 derived mesendoderm cultured cells
cell	h1 bmp4 derived trophoblast cultured cells	h1 bmp4 derived trophoblast cultured cells
cell	h1 cells	h1 cells
cell	h1 derived mesenchymal stem cells	h1 derived mesenchymal stem cells
cell	h1 derived neuronal progenitor cultured cells	h1 derived neuronal progenitor cultured cells
cell	h1-hesc	h1
cell	h1-hesc	h1 cells
cell	h1-hesc	h1-hesc
cell	h2009	h2009
cell	h2171	h2171
cell	h3396	h3396
cell	h358	h358
cell	h4	h4
cell	h54	h54
cell	h7	h7
cell	h7-hesc	h7
cell	h7-hesc	h7 cell
cell	h7-hesc	h7-es
cell	h7-hesc	h7-hesc
cell	h7-hesc	wa07
cell	h9	h9
cell	h9	h9 cells
cell	h9 cells	h9 cells
cell	h9 derived neuronal progenitor cultured cells	h9 derived neuronal progenitor cultured cells
cell	h9 derived neuron cultured cells	h9 derived neuron cultured cells
cell	hap-1	hap1
cell	hap-1	hap-1
cell	ha-sp	ha-sp
cell	hbl1	hbl1
cell	hbl-1 cell	hbl1
